x	shape	net	y	bbox	object_type	object_name	object_layer	object_net	object_bbox
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_21_1196	M6	n52417	{109.9560 827.3960} {110.0120 876.0920}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_19_70560	M5	ZBUF_32_1117	{104.1800 867.5240} {112.4440 867.5800}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_15_678888	M3	ZBUF_961_3427	{109.9560 867.8280} {111.3800 867.8840}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_13_935788	M2	ZBUF_246_1090	{109.8040 857.4920} {109.8600 873.9640}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_13_1084701	M2	ZBUF_17_2774	{110.1080 863.7240} {110.1640 871.5320}
110.0	PATH_11_507	VSS	867.704	{109.75 867.454} {110.25 867.954}	shape	PATH_13_1227980	M2	ZBUF_961_3427	{109.9560 866.1560} {110.0120 867.8840}
110.0	PATH_11_531	VSS	907.832	{109.75 907.582} {110.25 908.082}	shape	PATH_21_10067	M6	ZBUF_360_70	{109.9560 904.0040} {110.0120 958.1720}
110.0	PATH_11_531	VSS	907.832	{109.75 907.582} {110.25 908.082}	shape	PATH_15_301333	M3	n133946	{109.6520 907.9560} {110.1640 908.0120}
110.0	PATH_11_531	VSS	907.832	{109.75 907.582} {110.25 908.082}	shape	PATH_15_582251	M3	ZBUF_1028_2750	{109.9560 907.6520} {115.7880 907.7080}
110.0	PATH_11_531	VSS	907.832	{109.75 907.582} {110.25 908.082}	shape	PATH_13_639284	M2	n133946	{110.1080 903.0920} {110.1640 908.0120}
110.0	PATH_11_531	VSS	907.832	{109.75 907.582} {110.25 908.082}	shape	PATH_13_1073143	M2	ZBUF_1028_2750	{109.9560 907.0440} {110.0120 907.7080}
110.0	PATH_11_555	VSS	947.96	{109.75 947.71} {110.25 948.21}	shape	PATH_21_10067	M6	ZBUF_360_70	{109.9560 904.0040} {110.0120 958.1720}
110.0	PATH_11_555	VSS	947.96	{109.75 947.71} {110.25 948.21}	shape	PATH_19_82771	M5	ZBUF_2_2719	{109.9560 947.7800} {112.4440 947.8360}
110.0	PATH_11_555	VSS	947.96	{109.75 947.71} {110.25 948.21}	shape	PATH_17_165529	M4	ZBUF_2_2719	{109.9540 947.5960} {110.0140 947.8380}
110.0	PATH_11_555	VSS	947.96	{109.75 947.71} {110.25 948.21}	shape	PATH_13_1070310	M2	ZBUF_2_2719	{109.8040 947.3240} {109.8600 947.8360}
110.0	PATH_11_555	VSS	947.96	{109.75 947.71} {110.25 948.21}	via	VIA_S_1011048	VIA23SQ_C	n133758	{110.2330 947.7530} {110.3430 947.8630}
110.0	PATH_11_579	VSS	988.088	{109.75 987.838} {110.25 988.338}	shape	PATH_19_20822	M5	n135469	{107.2200 987.9080} {112.4440 987.9640}
110.0	PATH_11_579	VSS	988.088	{109.75 987.838} {110.25 988.338}	shape	PATH_13_392693	M2	n56882	{110.1080 987.3000} {110.1640 988.7240}
110.0	PATH_11_603	VSS	1028.216	{109.75 1027.966} {110.25 1028.466}	shape	PATH_19_78003	M5	ZBUF_106_2055	{104.7880 1028.0360} {112.1400 1028.0920}
110.0	PATH_11_603	VSS	1028.216	{109.75 1027.966} {110.25 1028.466}	shape	PATH_15_184024	M3	n63296	{108.4360 1028.3400} {111.3800 1028.3960}
110.0	PATH_11_603	VSS	1028.216	{109.75 1027.966} {110.25 1028.466}	shape	PATH_15_500976	M3	ZBUF_292_1113	{109.3480 1028.0360} {109.8600 1028.0920}
110.0	PATH_11_603	VSS	1028.216	{109.75 1027.966} {110.25 1028.466}	shape	PATH_13_944501	M2	ZBUF_292_1113	{109.8040 1028.0360} {109.8600 1029.0040}
120.0	PATH_11_483	VSS	827.576	{119.75 827.326} {120.25 827.826}	shape	PATH_15_386585	M3	n142667	{112.5400 827.7000} {120.5000 827.7560}
120.0	PATH_11_483	VSS	827.576	{119.75 827.326} {120.25 827.826}	shape	PATH_15_627250	M3	ZBUF_187_3062	{119.3800 827.3960} {120.3480 827.4520}
120.0	PATH_11_507	VSS	867.704	{119.75 867.454} {120.25 867.954}	shape	PATH_19_62228	M5	ZBUF_295_74	{117.2520 867.5240} {129.4680 867.5800}
120.0	PATH_11_507	VSS	867.704	{119.75 867.454} {120.25 867.954}	shape	PATH_15_562183	M3	ZBUF_439_2524	{116.6440 867.8280} {124.9080 867.8840}
120.0	PATH_11_507	VSS	867.704	{119.75 867.454} {120.25 867.954}	shape	PATH_15_563918	M3	ZBUF_216_2530	{114.8200 867.5240} {123.3880 867.5800}
120.0	PATH_11_531	VSS	907.832	{119.75 907.582} {120.25 908.082}	shape	PATH_19_17011	M5	n131435	{117.5560 907.6520} {122.1720 907.7080}
120.0	PATH_11_531	VSS	907.832	{119.75 907.582} {120.25 908.082}	shape	PATH_15_147004	M3	n37476	{116.3400 907.9560} {121.8430 908.0120}
120.0	PATH_11_531	VSS	907.832	{119.75 907.582} {120.25 908.082}	shape	PATH_17_166861	M4	ZBUF_240_2758	{119.9880 905.5240} {120.0440 918.3480}
120.0	PATH_11_555	VSS	947.96	{119.75 947.71} {120.25 948.21}	shape	PATH_15_153802	M3	n42119	{118.3160 948.0840} {123.8440 948.1400}
120.0	PATH_11_555	VSS	947.96	{119.75 947.71} {120.25 948.21}	via	VIA_S_524944	VIA56SQ_C	n42048	{119.6570 947.7530} {119.7670 947.8630}
120.0	PATH_11_579	VSS	988.088	{119.75 987.838} {120.25 988.338}	shape	PATH_17_66498	M4	n142159	{119.9880 974.5320} {120.0440 1001.6440}
120.0	PATH_11_603	VSS	1028.216	{119.75 1027.966} {120.25 1028.466}	shape	PATH_19_6272	M5	n63179	{116.6440 1028.0360} {123.6920 1028.0920}
120.0	PATH_11_603	VSS	1028.216	{119.75 1027.966} {120.25 1028.466}	shape	PATH_15_183342	M3	n63015	{116.3400 1028.0360} {123.2360 1028.0920}
120.0	PATH_11_627	VSS	1068.344	{119.75 1068.094} {120.25 1068.594}	shape	PATH_15_130191	M3	n25168	{119.5320 1068.1640} {124.6040 1068.2200}
120.0	PATH_11_627	VSS	1068.344	{119.75 1068.094} {120.25 1068.594}	shape	PATH_15_590781	M3	ZBUF_795_2795	{116.0360 1068.4680} {129.6200 1068.5240}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	shape	PATH_17_10694	M4	n40162	{130.0200 815.5400} {130.0760 884.6040}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	shape	PATH_21_20355	M6	ZBUF_9_2770	{130.0200 761.1240} {130.0760 964.8600}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	shape	PATH_19_85696	M5	ZBUF_416_2923	{128.1960 827.3960} {136.1560 827.4520}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	shape	PATH_15_148089	M3	n38130	{121.6600 827.3960} {130.9880 827.4520}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	shape	PATH_15_492598	M3	ZBUF_577_1077	{120.9000 827.7000} {130.0760 827.7560}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	shape	PATH_15_492599	M3	ZBUF_577_1077	{130.0200 827.7000} {135.2440 827.7560}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	shape	PATH_13_882437	M2	ZBUF_2569_92	{129.8680 827.0920} {129.9240 827.4520}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	shape	PATH_13_929400	M2	ZBUF_1136_1064	{129.7160 805.5080} {129.7720 828.6680}
130.0	PATH_11_483	VSS	827.576	{129.75 827.326} {130.25 827.826}	shape	PATH_13_931384	M2	ZBUF_577_1077	{129.8680 827.7000} {129.9240 828.5160}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	shape	PATH_17_10694	M4	n40162	{130.0200 815.5400} {130.0760 884.6040}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	shape	PATH_21_20355	M6	ZBUF_9_2770	{130.0200 761.1240} {130.0760 964.8600}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	shape	PATH_17_166022	M4	ZBUF_5844_2751	{129.7160 866.0040} {129.7720 869.1000}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	shape	PATH_15_517466	M3	ZBUF_2303_1605	{125.1560 867.8280} {131.9000 867.8840}
130.0	PATH_11_507	VSS	867.704	{129.75 867.454} {130.25 867.954}	shape	PATH_15_563921	M3	ZBUF_216_2530	{124.5480 867.5240} {130.8360 867.5800}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	shape	PATH_21_20355	M6	ZBUF_9_2770	{130.0200 761.1240} {130.0760 964.8600}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	shape	PATH_19_90648	M5	ZBUF_267_3169	{125.4600 907.6520} {130.6840 907.7080}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	shape	PATH_17_132053	M4	ZBUF_904_113	{129.7160 903.7000} {129.7720 908.3160}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	shape	PATH_15_147187	M3	n37605	{126.9800 907.9560} {132.2040 908.0120}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	shape	PATH_15_147460	M3	n37749	{129.2600 907.6520} {130.5320 907.7080}
130.0	PATH_11_531	VSS	907.832	{129.75 907.582} {130.25 908.082}	shape	PATH_13_984394	M2	ZBUF_505_1650	{129.7160 907.0440} {129.7720 912.2680}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	shape	PATH_19_3835	M5	n42039	{122.7240 947.7800} {130.9880 947.8360}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	shape	PATH_21_20355	M6	ZBUF_9_2770	{130.0200 761.1240} {130.0760 964.8600}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	shape	PATH_17_61846	M4	n139602	{129.7160 940.1800} {129.7720 948.1400}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	shape	PATH_15_153948	M3	n42175	{129.1080 947.7800} {132.8120 947.8360}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	shape	PATH_13_346184	M2	n41837	{129.8680 945.0440} {129.9240 950.4200}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	shape	PATH_15_365650	M3	n139602	{129.7160 948.0840} {131.9000 948.1400}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	shape	PATH_13_918521	M2	ZBUF_53_935	{130.0200 942.0040} {130.0760 953.6120}
130.0	PATH_11_555	VSS	947.96	{129.75 947.71} {130.25 948.21}	via	VIA_S_1196918	VIA34SQ_C	n139602	{129.6890 948.0570} {129.7990 948.1670}
130.0	PATH_11_579	VSS	988.088	{129.75 987.838} {130.25 988.338}	shape	PATH_17_20737	M4	n76053	{130.0200 981.5240} {130.0760 1001.3400}
130.0	PATH_11_579	VSS	988.088	{129.75 987.838} {130.25 988.338}	shape	PATH_15_201612	M3	n75968	{127.5880 987.9080} {138.4360 987.9640}
130.0	PATH_11_579	VSS	988.088	{129.75 987.838} {130.25 988.338}	shape	PATH_15_201626	M3	n75980	{129.5640 988.2120} {134.4840 988.2680}
130.0	PATH_11_579	VSS	988.088	{129.75 987.838} {130.25 988.338}	shape	PATH_13_451026	M2	n75928	{129.8680 985.7800} {129.9240 990.3960}
130.0	PATH_11_579	VSS	988.088	{129.75 987.838} {130.25 988.338}	shape	PATH_13_743064	M2	n139290	{130.1720 985.7800} {130.2280 988.8760}
130.0	PATH_11_603	VSS	1028.216	{129.75 1027.966} {130.25 1028.466}	shape	PATH_21_13464	M6	ZBUF_26_1086	{130.0200 1005.5400} {130.0760 1100.4440}
130.0	PATH_11_603	VSS	1028.216	{129.75 1027.966} {130.25 1028.466}	shape	PATH_17_61660	M4	n139443	{129.7160 1014.0520} {129.7720 1028.0920}
130.0	PATH_11_603	VSS	1028.216	{129.75 1027.966} {130.25 1028.466}	shape	PATH_17_61662	M4	n139443	{129.7160 1028.0360} {129.7720 1030.5240}
130.0	PATH_11_603	VSS	1028.216	{129.75 1027.966} {130.25 1028.466}	shape	PATH_15_349509	M3	n137955	{130.0200 1028.3400} {131.1400 1028.3960}
130.0	PATH_11_603	VSS	1028.216	{129.75 1027.966} {130.25 1028.466}	shape	PATH_15_365095	M3	n139443	{129.5320 1028.0340} {129.7740 1028.0940}
130.0	PATH_11_603	VSS	1028.216	{129.75 1027.966} {130.25 1028.466}	shape	PATH_13_720302	M2	n137955	{130.0200 1027.4280} {130.0760 1028.3960}
130.0	PATH_11_603	VSS	1028.216	{129.75 1027.966} {130.25 1028.466}	shape	PATH_13_745372	M2	n139443	{129.7160 1027.4280} {129.7720 1028.0920}
130.0	PATH_11_603	VSS	1028.216	{129.75 1027.966} {130.25 1028.466}	shape	PATH_13_1044720	M2	ZBUF_909_2530	{129.8680 1027.7320} {129.9240 1030.6760}
130.0	PATH_11_603	VSS	1028.216	{129.75 1027.966} {130.25 1028.466}	via	VIA_S_1195092	VIA23SQ_C	n139443	{129.6890 1028.0090} {129.7990 1028.1190}
130.0	PATH_11_603	VSS	1028.216	{129.75 1027.966} {130.25 1028.466}	via	VIA_S_1195093	VIA34SQ_C	n139443	{129.6890 1028.0090} {129.7990 1028.1190}
130.0	PATH_11_627	VSS	1068.344	{129.75 1068.094} {130.25 1068.594}	shape	PATH_21_13464	M6	ZBUF_26_1086	{130.0200 1005.5400} {130.0760 1100.4440}
130.0	PATH_11_627	VSS	1068.344	{129.75 1068.094} {130.25 1068.594}	shape	PATH_17_57794	M4	n138353	{129.1080 1068.4680} {129.7720 1068.5240}
130.0	PATH_11_627	VSS	1068.344	{129.75 1068.094} {130.25 1068.594}	shape	PATH_15_130213	M3	n25175	{127.4360 1068.1640} {137.9800 1068.2200}
130.0	PATH_11_627	VSS	1068.344	{129.75 1068.094} {130.25 1068.594}	shape	PATH_17_160922	M4	ZBUF_1400_2530	{130.0200 1059.0440} {130.0760 1073.9960}
130.0	PATH_11_627	VSS	1068.344	{129.75 1068.094} {130.25 1068.594}	shape	PATH_13_293546	M2	n24611	{129.7160 1066.6440} {129.7720 1070.0440}
130.0	PATH_11_627	VSS	1068.344	{129.75 1068.094} {130.25 1068.594}	shape	PATH_13_295164	M2	n25132	{129.8680 1068.1640} {129.9240 1069.4360}
130.0	PATH_11_627	VSS	1068.344	{129.75 1068.094} {130.25 1068.594}	shape	PATH_15_354869	M3	n138353	{129.7160 1068.4680} {139.0440 1068.5240}
130.0	PATH_11_627	VSS	1068.344	{129.75 1068.094} {130.25 1068.594}	via	VIA_S_1164774	VIA34SQ_C	n138353	{129.6890 1068.4410} {129.7990 1068.5510}
150.0	PATH_11_483	VSS	827.576	{149.75 827.326} {150.25 827.826}	shape	PATH_21_23115	M6	ZBUF_52_3259	{150.0840 750.1800} {150.1400 834.7480}
150.0	PATH_11_483	VSS	827.576	{149.75 827.326} {150.25 827.826}	shape	PATH_17_129108	M4	ZBUF_27_74	{150.0840 824.3560} {150.1400 839.0040}
150.0	PATH_11_483	VSS	827.576	{149.75 827.326} {150.25 827.826}	shape	PATH_13_1008344	M2	ZBUF_2938_2025	{149.9320 826.3320} {149.9880 831.4040}
150.0	PATH_11_507	VSS	867.704	{149.75 867.454} {150.25 867.954}	shape	PATH_21_6619	M6	n137721	{150.0840 838.3400} {150.1400 995.8680}
150.0	PATH_11_507	VSS	867.704	{149.75 867.454} {150.25 867.954}	shape	PATH_19_7892	M5	n76352	{141.8760 867.5240} {178.4120 867.5800}
150.0	PATH_11_507	VSS	867.704	{149.75 867.454} {150.25 867.954}	shape	PATH_17_44722	M4	n132907	{149.7800 851.7160} {149.8360 873.0520}
150.0	PATH_11_507	VSS	867.704	{149.75 867.454} {150.25 867.954}	shape	PATH_13_321315	M2	n33700	{149.7800 865.2440} {149.8360 869.4040}
150.0	PATH_11_507	VSS	867.704	{149.75 867.454} {150.25 867.954}	shape	PATH_15_322039	M3	n135552	{149.4760 867.5240} {149.9880 867.5800}
150.0	PATH_11_507	VSS	867.704	{149.75 867.454} {150.25 867.954}	shape	PATH_13_674740	M2	n135552	{149.9320 867.5240} {149.9880 872.4440}
150.0	PATH_11_531	VSS	907.832	{149.75 907.582} {150.25 908.082}	shape	PATH_21_6619	M6	n137721	{150.0840 838.3400} {150.1400 995.8680}
150.0	PATH_11_531	VSS	907.832	{149.75 907.582} {150.25 908.082}	shape	PATH_17_9950	M4	n37565	{149.7800 903.7000} {149.8360 910.4440}
150.0	PATH_11_531	VSS	907.832	{149.75 907.582} {150.25 908.082}	shape	PATH_17_10007	M4	n37687	{150.0840 897.6200} {150.1400 910.1400}
150.0	PATH_11_531	VSS	907.832	{149.75 907.582} {150.25 908.082}	shape	PATH_19_80276	M5	ZBUF_172_2528	{146.1320 907.6520} {153.7880 907.7080}
150.0	PATH_11_531	VSS	907.832	{149.75 907.582} {150.25 908.082}	shape	PATH_15_147256	M3	n37649	{149.6280 907.9560} {150.5960 908.0120}
150.0	PATH_11_531	VSS	907.832	{149.75 907.582} {150.25 908.082}	shape	PATH_13_333633	M2	n37776	{150.0840 907.3480} {150.1400 909.8360}
150.0	PATH_11_531	VSS	907.832	{149.75 907.582} {150.25 908.082}	shape	PATH_13_346762	M2	n42003	{150.2360 903.2440} {150.2920 919.2600}
150.0	PATH_11_531	VSS	907.832	{149.75 907.582} {150.25 908.082}	shape	PATH_15_619329	M3	ZBUF_643_3010	{149.4760 907.6520} {150.4440 907.7080}
150.0	PATH_11_531	VSS	907.832	{149.75 907.582} {150.25 908.082}	shape	PATH_13_889622	M2	ZBUF_904_113	{149.7800 907.0440} {149.8360 917.2840}
150.0	PATH_11_531	VSS	907.832	{149.75 907.582} {150.25 908.082}	shape	PATH_13_1009085	M2	ZBUF_96_2027	{149.9320 907.3480} {149.9880 927.3160}
150.0	PATH_11_555	VSS	947.96	{149.75 947.71} {150.25 948.21}	shape	PATH_21_6619	M6	n137721	{150.0840 838.3400} {150.1400 995.8680}
150.0	PATH_11_555	VSS	947.96	{149.75 947.71} {150.25 948.21}	shape	PATH_19_90762	M5	ZBUF_360_3175	{142.1800 947.7800} {154.3960 947.8360}
150.0	PATH_11_555	VSS	947.96	{149.75 947.71} {150.25 948.21}	shape	PATH_17_146481	M4	ZBUF_310_1597	{150.0840 941.0920} {150.1400 950.8760}
150.0	PATH_11_555	VSS	947.96	{149.75 947.71} {150.25 948.21}	shape	PATH_13_347292	M2	n42111	{150.2360 943.5240} {150.2920 948.7480}
150.0	PATH_11_555	VSS	947.96	{149.75 947.71} {150.25 948.21}	shape	PATH_15_370513	M3	n140234	{148.2600 947.7800} {150.4440 947.8360}
150.0	PATH_11_579	VSS	988.088	{149.75 987.838} {150.25 988.338}	shape	PATH_21_6619	M6	n137721	{150.0840 838.3400} {150.1400 995.8680}
150.0	PATH_11_579	VSS	988.088	{149.75 987.838} {150.25 988.338}	shape	PATH_19_17131	M5	n131473	{144.3080 987.9080} {168.9880 987.9640}
150.0	PATH_11_579	VSS	988.088	{149.75 987.838} {150.25 988.338}	shape	PATH_17_180089	M4	ZBUF_1991_3116	{150.0840 964.5000} {150.1400 999.8200}
150.0	PATH_11_579	VSS	988.088	{149.75 987.838} {150.25 988.338}	shape	PATH_15_201505	M3	n75895	{149.6280 988.2120} {157.2840 988.2680}
150.0	PATH_11_579	VSS	988.088	{149.75 987.838} {150.25 988.338}	shape	PATH_13_450757	M2	n75838	{149.9320 983.8040} {149.9880 988.1160}
150.0	PATH_11_579	VSS	988.088	{149.75 987.838} {150.25 988.338}	shape	PATH_13_450759	M2	n75838	{149.7800 988.0600} {149.8360 989.1800}
150.0	PATH_11_579	VSS	988.088	{149.75 987.838} {150.25 988.338}	shape	PATH_15_615655	M3	ZBUF_786_3002	{149.0200 987.9080} {156.0680 987.9640}
150.0	PATH_11_579	VSS	988.088	{149.75 987.838} {150.25 988.338}	shape	PATH_13_890216	M2	ZBUF_429_120	{150.0840 985.7800} {150.1400 992.0680}
150.0	PATH_11_579	VSS	988.088	{149.75 987.838} {150.25 988.338}	shape	PATH_13_1125240	M2	ZBUF_1098_3001	{150.2360 984.2600} {150.2920 995.2600}
150.0	PATH_11_603	VSS	1028.216	{149.75 1027.966} {150.25 1028.466}	shape	PATH_21_540	M6	n24672	{150.0840 1028.0360} {150.1400 1034.1720}
150.0	PATH_11_603	VSS	1028.216	{149.75 1027.966} {150.25 1028.466}	shape	PATH_19_2184	M5	n24672	{150.0840 1028.0360} {178.4120 1028.0920}
150.0	PATH_11_603	VSS	1028.216	{149.75 1027.966} {150.25 1028.466}	shape	PATH_15_129901	M3	n25027	{148.5640 1028.3400} {150.9000 1028.3960}
150.0	PATH_11_603	VSS	1028.216	{149.75 1027.966} {150.25 1028.466}	shape	PATH_13_294404	M2	n24904	{150.2360 1027.2760} {150.2920 1036.3000}
150.0	PATH_11_603	VSS	1028.216	{149.75 1027.966} {150.25 1028.466}	shape	PATH_15_361980	M3	n139189	{147.0440 1028.0360} {153.0280 1028.0920}
150.0	PATH_11_603	VSS	1028.216	{149.75 1027.966} {150.25 1028.466}	shape	PATH_13_716979	M2	n137794	{149.7800 1023.0200} {149.8360 1030.8280}
150.0	PATH_11_627	VSS	1068.344	{149.75 1068.094} {150.25 1068.594}	shape	PATH_17_14032	M4	n52948	{149.7800 1064.2120} {149.8360 1073.3880}
150.0	PATH_11_627	VSS	1068.344	{149.75 1068.094} {150.25 1068.594}	shape	PATH_19_25898	M5	n139106	{142.1800 1068.1640} {150.1400 1068.2200}
150.0	PATH_11_627	VSS	1068.344	{149.75 1068.094} {150.25 1068.594}	shape	PATH_17_60034	M4	n139106	{150.0840 1067.2520} {150.1400 1068.2200}
150.0	PATH_11_627	VSS	1068.344	{149.75 1068.094} {150.25 1068.594}	shape	PATH_15_563483	M3	ZBUF_391_2530	{148.5640 1068.1640} {150.9000 1068.2200}
150.0	PATH_11_627	VSS	1068.344	{149.75 1068.094} {150.25 1068.594}	shape	PATH_13_729993	M2	n138385	{149.9320 1061.7800} {149.9880 1070.0440}
160.0	PATH_11_483	VSS	827.576	{159.75 827.326} {160.25 827.826}	shape	PATH_15_148517	M3	n38398	{158.7480 827.3960} {160.4760 827.4520}
160.0	PATH_11_483	VSS	827.576	{159.75 827.326} {160.25 827.826}	shape	PATH_15_370648	M3	n140244	{159.2040 827.7000} {160.4760 827.7560}
160.0	PATH_11_507	VSS	867.704	{159.75 867.454} {160.25 867.954}	shape	PATH_21_4663	M6	n132845	{159.8120 855.3640} {159.8680 876.7000}
160.0	PATH_11_507	VSS	867.704	{159.75 867.454} {160.25 867.954}	shape	PATH_19_7892	M5	n76352	{141.8760 867.5240} {178.4120 867.5800}
160.0	PATH_11_507	VSS	867.704	{159.75 867.454} {160.25 867.954}	shape	PATH_17_52436	M4	n136864	{159.8120 857.1880} {159.8680 870.6200}
160.0	PATH_11_507	VSS	867.704	{159.75 867.454} {160.25 867.954}	shape	PATH_15_146517	M3	n37201	{158.9000 867.5240} {163.5160 867.5800}
160.0	PATH_11_531	VSS	907.832	{159.75 907.582} {160.25 908.082}	shape	PATH_17_9926	M4	n37490	{159.8120 894.2760} {159.8680 914.3960}
160.0	PATH_11_531	VSS	907.832	{159.75 907.582} {160.25 908.082}	shape	PATH_19_69340	M5	ZBUF_340_1090	{157.3800 907.6520} {162.3000 907.7080}
