x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
19.8	PATH_11_483	VSS	827.576	{19.7 827.476} {19.9 827.676}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
19.8	PATH_11_507	VSS	867.704	{19.7 867.604} {19.9 867.804}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
19.8	PATH_11_531	VSS	907.832	{19.7 907.732} {19.9 907.932}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
19.8	PATH_11_555	VSS	947.96	{19.7 947.86} {19.9 948.06}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
19.8	PATH_11_579	VSS	988.088	{19.7 987.988} {19.9 988.188}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
19.8	PATH_11_603	VSS	1028.216	{19.7 1028.116} {19.9 1028.316}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
19.8	PATH_11_627	VSS	1068.344	{19.7 1068.244} {19.9 1068.444}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
19.9	PATH_11_483	VSS	827.576	{19.8 827.476} {20.0 827.676}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
19.9	PATH_11_507	VSS	867.704	{19.8 867.604} {20.0 867.804}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
19.9	PATH_11_531	VSS	907.832	{19.8 907.732} {20.0 907.932}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
19.9	PATH_11_555	VSS	947.96	{19.8 947.86} {20.0 948.06}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
19.9	PATH_11_579	VSS	988.088	{19.8 987.988} {20.0 988.188}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
19.9	PATH_11_603	VSS	1028.216	{19.8 1028.116} {20.0 1028.316}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
19.9	PATH_11_627	VSS	1068.344	{19.8 1068.244} {20.0 1068.444}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
20.0	PATH_11_483	VSS	827.576	{19.9 827.476} {20.1 827.676}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
20.0	PATH_11_507	VSS	867.704	{19.9 867.604} {20.1 867.804}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
20.0	PATH_11_531	VSS	907.832	{19.9 907.732} {20.1 907.932}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
20.0	PATH_11_555	VSS	947.96	{19.9 947.86} {20.1 948.06}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
20.0	PATH_11_579	VSS	988.088	{19.9 987.988} {20.1 988.188}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
20.0	PATH_11_603	VSS	1028.216	{19.9 1028.116} {20.1 1028.316}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
20.0	PATH_11_627	VSS	1068.344	{19.9 1068.244} {20.1 1068.444}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
20.1	PATH_11_483	VSS	827.576	{20.0 827.476} {20.2 827.676}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
20.1	PATH_11_507	VSS	867.704	{20.0 867.604} {20.2 867.804}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
20.1	PATH_11_507	VSS	867.704	{20.0 867.604} {20.2 867.804}	signal	shape	PATH_13_1100484	M2	ZBUF_61_2921	{20.1240 867.5240} {20.1800 868.4920}
20.1	PATH_11_507	VSS	867.704	{20.0 867.604} {20.2 867.804}	signal	via	VIA_S_1872571	VIA23SQ_C	ZBUF_61_2921	{20.0970 867.4970} {20.2070 867.6070}
20.1	PATH_11_531	VSS	907.832	{20.0 907.732} {20.2 907.932}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
20.1	PATH_11_555	VSS	947.96	{20.0 947.86} {20.2 948.06}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
20.1	PATH_11_579	VSS	988.088	{20.0 987.988} {20.2 988.188}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
20.1	PATH_11_603	VSS	1028.216	{20.0 1028.116} {20.2 1028.316}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
20.1	PATH_11_627	VSS	1068.344	{20.0 1068.244} {20.2 1068.444}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
20.2	PATH_11_483	VSS	827.576	{20.1 827.476} {20.3 827.676}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
20.2	PATH_11_507	VSS	867.704	{20.1 867.604} {20.3 867.804}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
20.2	PATH_11_507	VSS	867.704	{20.1 867.604} {20.3 867.804}	signal	shape	PATH_13_453559	M2	n76715	{20.2760 866.9160} {20.3320 879.7400}
20.2	PATH_11_507	VSS	867.704	{20.1 867.604} {20.3 867.804}	signal	shape	PATH_13_1100484	M2	ZBUF_61_2921	{20.1240 867.5240} {20.1800 868.4920}
20.2	PATH_11_507	VSS	867.704	{20.1 867.604} {20.3 867.804}	signal	via	VIA_S_1872571	VIA23SQ_C	ZBUF_61_2921	{20.0970 867.4970} {20.2070 867.6070}
20.2	PATH_11_531	VSS	907.832	{20.1 907.732} {20.3 907.932}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
20.2	PATH_11_555	VSS	947.96	{20.1 947.86} {20.3 948.06}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
20.2	PATH_11_579	VSS	988.088	{20.1 987.988} {20.3 988.188}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
20.2	PATH_11_603	VSS	1028.216	{20.1 1028.116} {20.3 1028.316}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
20.2	PATH_11_627	VSS	1068.344	{20.1 1068.244} {20.3 1068.444}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
20.3	PATH_11_483	VSS	827.576	{20.2 827.476} {20.4 827.676}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
20.3	PATH_11_507	VSS	867.704	{20.2 867.604} {20.4 867.804}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
20.3	PATH_11_507	VSS	867.704	{20.2 867.604} {20.4 867.804}	signal	shape	PATH_13_453559	M2	n76715	{20.2760 866.9160} {20.3320 879.7400}
20.3	PATH_11_531	VSS	907.832	{20.2 907.732} {20.4 907.932}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
20.3	PATH_11_555	VSS	947.96	{20.2 947.86} {20.4 948.06}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
20.3	PATH_11_579	VSS	988.088	{20.2 987.988} {20.4 988.188}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
20.3	PATH_11_603	VSS	1028.216	{20.2 1028.116} {20.4 1028.316}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
20.3	PATH_11_627	VSS	1068.344	{20.2 1068.244} {20.4 1068.444}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
20.4	PATH_11_483	VSS	827.576	{20.3 827.476} {20.5 827.676}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
20.4	PATH_11_483	VSS	827.576	{20.3 827.476} {20.5 827.676}	signal	shape	PATH_13_367670	M2	n48570	{20.4280 820.7080} {20.4840 832.0120}
20.4	PATH_11_507	VSS	867.704	{20.3 867.604} {20.5 867.804}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
20.4	PATH_11_507	VSS	867.704	{20.3 867.604} {20.5 867.804}	signal	shape	PATH_13_453417	M2	n76678	{20.4280 862.3560} {20.4840 869.1000}
20.4	PATH_11_507	VSS	867.704	{20.3 867.604} {20.5 867.804}	signal	shape	PATH_13_453559	M2	n76715	{20.2760 866.9160} {20.3320 879.7400}
20.4	PATH_11_531	VSS	907.832	{20.3 907.732} {20.5 907.932}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
20.4	PATH_11_555	VSS	947.96	{20.3 947.86} {20.5 948.06}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
20.4	PATH_11_579	VSS	988.088	{20.3 987.988} {20.5 988.188}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
20.4	PATH_11_603	VSS	1028.216	{20.3 1028.116} {20.5 1028.316}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
20.4	PATH_11_627	VSS	1068.344	{20.3 1068.244} {20.5 1068.444}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
20.5	PATH_11_483	VSS	827.576	{20.4 827.476} {20.6 827.676}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
20.5	PATH_11_483	VSS	827.576	{20.4 827.476} {20.6 827.676}	signal	shape	PATH_13_367670	M2	n48570	{20.4280 820.7080} {20.4840 832.0120}
20.5	PATH_11_507	VSS	867.704	{20.4 867.604} {20.6 867.804}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
20.5	PATH_11_507	VSS	867.704	{20.4 867.604} {20.6 867.804}	signal	shape	PATH_17_140797	M4	ZBUF_146_1086	{20.5800 838.6440} {20.6360 874.2680}
20.5	PATH_11_507	VSS	867.704	{20.4 867.604} {20.6 867.804}	signal	shape	PATH_13_453417	M2	n76678	{20.4280 862.3560} {20.4840 869.1000}
20.5	PATH_11_507	VSS	867.704	{20.4 867.604} {20.6 867.804}	signal	shape	PATH_13_882733	M2	ZBUF_5587_92	{20.5800 867.6760} {20.6360 868.7960}
20.5	PATH_11_507	VSS	867.704	{20.4 867.604} {20.6 867.804}	signal	shape	PATH_13_882734	M2	ZBUF_5587_92	{20.5800 867.6760} {20.7880 867.7320}
20.5	PATH_11_531	VSS	907.832	{20.4 907.732} {20.6 907.932}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
20.5	PATH_11_531	VSS	907.832	{20.4 907.732} {20.6 907.932}	signal	shape	PATH_13_737593	M2	n138978	{20.5800 907.3480} {20.6360 911.3560}
20.5	PATH_11_555	VSS	947.96	{20.4 947.86} {20.6 948.06}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
20.5	PATH_11_579	VSS	988.088	{20.4 987.988} {20.6 988.188}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
20.5	PATH_11_603	VSS	1028.216	{20.4 1028.116} {20.6 1028.316}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
20.5	PATH_11_627	VSS	1068.344	{20.4 1068.244} {20.6 1068.444}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
